interface,name,entity_type,arguments,idl_type,syntactic_form,use_counter,secure_context,high_entropy,source_file,source_line
ApplicationCache,UPDATEREADY,constant,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,39
ApplicationCache,abort,operation,(),Void,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,oncached,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,onchecking,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,ondownloading,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,onerror,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,onnoupdate,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,onobsolete,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,onprogress,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,onupdateready,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,status,attribute,,UnsignedShort,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,swapCache,operation,(),Void,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCache,update,operation,(),Void,,,,,third_party/blink/renderer/core/loader/appcache/application_cache.idl,
ApplicationCacheErrorEvent,,interface,,,,,True,,third_party/blink/renderer/core/events/application_cache_error_event.idl,15
ApplicationCacheErrorEvent,isTrusted,attribute,,Boolean,,,,,third_party/blink/renderer/core/dom/events/event.idl,
ApplicationCacheErrorEvent,message,attribute,,String,,,,,third_party/blink/renderer/core/events/application_cache_error_event.idl,
ApplicationCacheErrorEvent,reason,attribute,,String,,,,,third_party/blink/renderer/core/events/application_cache_error_event.idl,
ApplicationCacheErrorEvent,status,attribute,,UnsignedShort,,,,,third_party/blink/renderer/core/events/application_cache_error_event.idl,
ApplicationCacheErrorEvent,url,attribute,,String,,,,,third_party/blink/renderer/core/events/application_cache_error_event.idl,
Attr,,interface,,,,,,,third_party/blink/renderer/core/dom/attr.idl,24
Attr,localName,attribute,,String,,,,,third_party/blink/renderer/core/dom/attr.idl,
Attr,name,attribute,,String,,,,,third_party/blink/renderer/core/dom/attr.idl,
Attr,namespaceURI,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/dom/attr.idl,
Attr,ownerElement,attribute,,ElementOrNull,,,,,third_party/blink/renderer/core/dom/attr.idl,
Attr,prefix,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/dom/attr.idl,
Attr,specified,attribute,,Boolean,,,,,third_party/blink/renderer/core/dom/attr.idl,
Attr,value,attribute,,String,,,,,third_party/blink/renderer/core/dom/attr.idl,
AttributionReporting,,interface,,,,,True,,third_party/blink/renderer/core/frame/attribution_reporting.idl,12
AttributionReporting,registerAttributionSource,operation,(AttributionSourceParams),VoidPromise,,,,,third_party/blink/renderer/core/frame/attribution_reporting.idl,
AudioBuffer,,interface,,,,,,,third_party/blink/renderer/modules/webaudio/audio_buffer.idl,32
AudioBuffer,copyFromChannel,operation,"(Float32Array,UnsignedLong,UnsignedLong)",Void,,V8AudioBuffer_CopyFromChannel_Method,,(True),third_party/blink/renderer/modules/webaudio/audio_buffer.idl,
AudioBuffer,copyToChannel,operation,"(Float32Array,UnsignedLong,UnsignedLong)",Void,,,,,third_party/blink/renderer/modules/webaudio/audio_buffer.idl,
